movie,sentence,score
더 퍼스트 슬램덩크,만화에 비하면 아쉽지만 그래도 조아따요~ ,9
더 퍼스트 슬램덩크,최고의 슬램덩크 영화 추천,10
더 퍼스트 슬램덩크,추억속으로 확 빨려드는 느낌이랄까.. 영화보고 훌쩍이고 집에와서 몇십년전에 사둔 만화책을 주섬주섬 꺼내 다시 읽었습니다.너무 좋아요,10
더 퍼스트 슬램덩크,마지막 1분은 정말 역대급.. 최고!,10
더 퍼스트 슬램덩크,은근히 빠져드는 스토리보기싫어했는데 내가 제일 열심히봤다ㅋㅋ,10
더 퍼스트 슬램덩크,한....5번 본거 같아요 만화 안보고 세번정도 만화보고 두번정도 봤는데 볼수록 &amp;#39;아 000도 잠깐 나오는 구나!&amp;#39; 하며 찾는 재미도 있고요 만화 속 인물들과 괴리감이 별로 안느껴져요 그리고 처음 볼때는 농구 영화다 보니까 스토리에만 집중 했었는데 농구에 대해 좀 더 배우고 룰 등을 알게되니 어떤 선수가 어떻게 행동하는지 보여서 재밌었어요 흠.. 혹시 보러갈 예정이시면 짤막하게 스토리 요약을 보고 가시면 좀 더 재밌고요 농구 포지션이나 스킬도 알아두시면 더더욱 재밌으실거예요,10
더 퍼스트 슬램덩크,오프닝부터 울리는 소리는 베이스소리만은 아니었을거야.전체가 올타임 레전드...,10
더 퍼스트 슬램덩크,재미는 있습니다.보지는 않았지만 아바타나 유렁 기타 등등 다른 영화보다는 이 영화를 추천해요그런데 지금 더 퍼스트 슬램덩크의 평점을 보면 솔직히 이 정도가 싶습니다.이 영화가 반지의 제왕이나 라이언 일병 구하기 센과 치히로보다 더 감동이나 재미가 있었다라고 하면 절대 아니거든요아무리 높게 쳐봐야 8점 후반때인데9점 중반은... 뭐 그렇습니다,8
더 퍼스트 슬램덩크,슬램덩크 모르고 봤는데..그냥 미쳤네요 이게 말로 표현이 안돼요..숨참으면서 봤어요ㅠ,10
더 퍼스트 슬램덩크,진짜 재밌네요 슬램덩크를 안봤는데도,10
더 퍼스트 슬램덩크,영감님의 영광의 시대는 언제죠? 저는 슬램덩크를 본 오늘입니다.,10
더 퍼스트 슬램덩크,그 동안 내가 슬램덩크를 알지 못했던 것이 이리도 후회될줄이야.,10
더 퍼스트 슬램덩크,보다보니 옛날 기억이 새록새록이 난다,10
더 퍼스트 슬램덩크,앞니 없는 남자가 멋져보일만큼 멋진 영화입니다,10
더 퍼스트 슬램덩크,눈물이 났어요 가슴이 두근 거렸어요,10
더 퍼스트 슬램덩크,눈을 뗄수가 없는  영화입니다  최고네요,10
더 퍼스트 슬램덩크,송태섭 스토리의 완성,9
더 퍼스트 슬램덩크,볼 수 있다면 무조건 봐야 함 눈물 흘릴 뻔 햇음,10
더 퍼스트 슬램덩크,39세 남자입니다 혼자보러갔는데 추억이 솟아나고 지루했던 일상의 탠션을 높여줬습니다 애인하고 같이온 남자가 여친을 가르치고미리복습 시켜왔더군요 올해첫영화 최고였습니다 마지막을 애니매이션으로 볼수있었다는게 가장큰의미 입니다,10
더 퍼스트 슬램덩크,말이 필요없음. 영화관에서 꼭 보길 추천,10
더 퍼스트 슬램덩크,쏘굿 너무재미납니다잉,10
더 퍼스트 슬램덩크,재밌다 태섭쿤!! 가즈아,10
더 퍼스트 슬램덩크,슬램덩크 재밌어요!,8
더 퍼스트 슬램덩크,너무 재밌었어요!!최고!,10
더 퍼스트 슬램덩크,오늘로서 5번째 관람~볼때마다 새롭고 재밌는 이유는 뭘까????,10
더 퍼스트 슬램덩크,40대 남자라면 꼭 봐야됨,10
더 퍼스트 슬램덩크,진짜 마지막 20분은 숨도 안쉬고 봄...,10
더 퍼스트 슬램덩크,모르는 사람이 봐도 감동이 있어요12세아들과 몰입해서 봤어요 제밌었습니다,10
더 퍼스트 슬램덩크,애니는 안보고 영화를 첨봤는데 마지막에 숨멎을정도로 집중했다가 골 넣는 장면에서 올었어요 ㅠㅠ 감동 또 보고싶네요,10
더 퍼스트 슬램덩크,진짜 미쳤다... 그시절 아버지가 부러워지는 순간이었다. ,10
더 퍼스트 슬램덩크,아빠따라보러 왔고 기대를 별로안했었는데 진짜 완전 너무재밌네요 진짜 강추입니다 슬램덩크 모르시는분들도 와서 보셔도 상관없을거같네요 그냥 저는 완벽하다고 생각합니다,10
더 퍼스트 슬램덩크,오랜만에 영화다운 영화를 봤다,10
더 퍼스트 슬램덩크,농담안하고 안본사람은 꼭보셈 레알 개띵작,10
더 퍼스트 슬램덩크,감동적입니다.꼭보세요,10
